First,Last,Traprock,Soapstone,Goodwin,NipSouth,Solstice,Peoples,Macedonia,Cockaponset,Nipmuck,Bimblers,Tunxis,total
Alessandro,Fulvini,*,*,*,*,*,*,71.45,*,*,*,*,71.45
Chris,Deming,*,71.38,*,*,*,*,*,*,*,*,*,71.38
James,Parrella,*,*,*,*,*,*,71.36,*,*,*,*,71.36
Kevin,Purviance,*,*,*,*,71.35,*,*,*,*,*,*,71.35
George,Mastrogiannis,71.21,*,*,*,*,*,*,*,*,*,*,71.21
Eric,Paradis,*,*,71.20,*,*,*,*,*,*,*,*,71.20
Johnny,Bontemps,*,*,*,*,*,*,71.16,*,*,*,*,71.16
Rick,Shoup,*,*,*,*,71.12,*,*,*,*,*,*,71.12
Bruce,Valenti,*,*,71.00,*,*,*,*,*,*,*,*,71.00
Justin,Breault,*,*,*,*,70.67,*,*,*,*,*,*,70.67
John,Cherry,*,*,*,*,*,*,*,*,*,70.65,*,70.65
Jackson,Mamock,*,*,*,*,*,*,*,70.41,*,*,*,70.41
Drew,Jett,*,*,*,*,*,*,70.35,*,*,*,*,70.35
Miguel,Cotto,*,*,*,*,*,*,*,70.30,*,*,*,70.30
Patrick,McGuire,*,*,70.15,*,*,*,*,*,*,*,*,70.15
Josh,Thompson,*,*,*,*,70.13,*,*,*,*,*,*,70.13
Jeffrey,Mitchell,*,*,*,69.87,*,*,*,*,*,*,*,69.87
Robert,Amatruda,*,*,*,*,*,*,*,*,*,69.86,*,69.86
Jeffrey,Opila,*,*,*,*,*,*,*,69.84,*,*,*,69.84
Stephen,Cary,69.72,*,*,*,*,*,*,*,*,*,*,69.72
Jeffrey,Schleicher,*,*,*,*,69.70,*,*,*,*,*,*,69.70
Daniel,Dubois,*,*,*,69.61,*,*,*,*,*,*,*,69.61
Max,Dubane,69.60,*,*,*,*,*,*,*,*,*,*,69.60
Mauricio,Sepulveda,*,69.53,*,*,*,*,*,*,*,*,*,69.53
Michael,Gelada,69.30,*,*,*,*,*,*,*,*,*,*,69.30
James,Pirerce,*,*,*,69.29,*,*,*,*,*,*,*,69.29
Joseph,Nuara,*,*,*,*,*,*,*,*,*,69.25,*,69.25
Chris,Baker,*,*,69.25,*,*,*,*,*,*,*,*,69.25
Michael,Vaughan,*,*,*,*,69.11,*,*,*,*,*,*,69.11
Suren,Thirumappan,*,*,68.96,*,*,*,*,*,*,*,*,68.96
Timothy,Seidl,*,*,*,68.95,*,*,*,*,*,*,*,68.95
Matt,Pfahl,*,*,*,*,*,*,*,*,*,68.90,*,68.90
Benjamin,Shore,*,*,*,68.81,*,*,*,*,*,*,*,68.81
Bryan,Mccusty,*,*,*,*,*,*,*,*,*,*,68.79,68.79
Jeremy,Fornal,*,*,*,*,68.63,*,*,*,*,*,*,68.63
Javier,Perrone,68.42,*,*,*,*,*,*,*,*,*,*,68.42
Keith,Desilets,*,68.38,*,*,*,*,*,*,*,*,*,68.38
Zach,Pietras,*,68.38,*,*,*,*,*,*,*,*,*,68.38
Lincoln,Champagne,*,*,*,*,*,*,*,*,*,*,68.20,68.20
John,Santillo,*,*,68.11,*,*,*,*,*,*,*,*,68.11
Kevin,Prestage,68.08,*,*,*,*,*,*,*,*,*,*,68.08
Dan,Macfarlane,*,*,*,*,*,*,*,*,*,67.93,*,67.93
Peter,Hornak,67.57,*,*,*,*,*,*,*,*,*,*,67.57
Kevin,Lemanquais,*,*,*,*,*,*,*,*,*,*,67.43,67.43
Matt,O'Connor,*,*,*,*,67.20,*,*,*,*,*,*,67.20
Mark,Cicero,*,*,*,*,*,*,*,*,*,67.09,*,67.09
Dave,Baer,*,*,*,*,66.90,*,*,*,*,*,*,66.90
Gordon,Schnell,*,*,*,*,*,*,66.58,*,*,*,*,66.58
Michael,McDermott,*,*,*,*,*,66.55,*,*,*,*,*,66.55
Trevor,Cazlan,*,*,*,*,*,*,*,*,*,*,66.46,66.46
Thomas,Balise,*,*,66.20,*,*,*,*,*,*,*,*,66.20
Matt,Ivan,*,*,*,*,*,*,*,*,*,66.16,*,66.16
George,Bearer,*,*,*,*,*,*,*,*,*,65.92,*,65.92
Santiago,Sanchez,*,*,*,*,*,*,*,*,*,65.86,*,65.86
David,Boudreau,*,*,*,*,*,*,*,*,65.79,*,*,65.79
Thomas,Paulius,65.64,*,*,*,*,*,*,*,*,*,*,65.64
Les,Wolkoff,*,*,*,*,65.60,*,*,*,*,*,*,65.60
Michael,Tatonetti,*,*,*,65.56,*,*,*,*,*,*,*,65.56
Steve,Tansley,*,65.46,*,*,*,*,*,*,*,*,*,65.46
Dan,Maychack,*,65.26,*,*,*,*,*,*,*,*,*,65.26
Chris,Rice,*,*,*,*,*,*,*,*,*,65.25,*,65.25
Tommy,Vanderheiden,65.25,*,*,*,*,*,*,*,*,*,*,65.25
Brian,Vanderheiden,65.23,*,*,*,*,*,*,*,*,*,*,65.23
Kristijan,Begic,*,*,*,*,*,*,*,*,*,65.10,*,65.10
Allan,Lewis,*,*,*,*,*,*,*,*,*,65.05,*,65.05
Justin,Ivan,*,*,*,*,*,*,*,*,*,65.05,*,65.05
Timothy,Glotch,*,*,*,*,*,*,*,*,*,65.03,*,65.03
Todd,Sears,*,*,*,*,*,*,64.59,*,*,*,*,64.59
Matthew,Austin,*,*,*,*,*,*,*,*,*,*,64.51,64.51
Andrew,Laprade,*,*,*,*,64.48,*,*,*,*,*,*,64.48
Bob,Segal,*,*,*,*,64.47,*,*,*,*,*,*,64.47
Mark,Moriarty,64.45,*,*,*,*,*,*,*,*,*,*,64.45
